epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
37,23.9853,1.51738,1.38856,2.15469,0.26608,0.2705,0.25,0.16192,0.06862,2.67224,3.06288,3.78578,0.36593,0.0005744,0.0005744,0.0005744
38,24.6137,1.50968,1.37301,2.13241,0.26135,0.29106,0.25,0.14864,0.06562,2.70466,3.04024,3.7637,0.4521,0.0005348,0.0005348,0.0005348
39,25.2418,1.63504,1.43595,2.22356,0.27667,0.34245,0.25,0.13133,0.06567,2.64236,2.99928,3.66366,0.46535,0.0004952,0.0004952,0.0004952
40,25.8749,1.66094,1.51533,2.25073,0.2369,0.38989,0.25,0.10889,0.05722,2.59105,3.06015,3.48325,0.51397,0.0004556,0.0004556,0.0004556
41,34.3684,1.47275,1.47504,2.26436,0.18401,0.39703,0.25,0.11917,0.05661,2.64524,3.08973,3.46394,0.54641,0.000416,0.000416,0.000416
42,35.0323,1.35711,1.36325,2.17426,0.18421,0.49838,0.25,0.16333,0.08167,2.76286,3.12154,3.43498,0.56869,0.0003764,0.0003764,0.0003764
43,35.6621,1.39056,1.27803,2.12324,0.19887,0.53891,0.25,0.185,0.0925,2.77218,3.12426,3.41403,0.54531,0.0003368,0.0003368,0.0003368
44,36.2958,1.33735,1.30463,2.01856,0.19663,0.50185,0.25,0.233,0.1117,2.78598,3.15478,3.43302,0.516,0.0002972,0.0002972,0.0002972
45,36.9602,1.35797,1.25563,2.06289,0.18573,0.46314,0.25,0.221,0.1043,2.77837,3.17079,3.45346,0.50284,0.0002576,0.0002576,0.0002576
46,37.6048,1.34255,1.40206,2.02041,0.19101,0.54102,0.25,0.225,0.10561,2.80147,3.20908,3.5201,0.49497,0.000218,0.000218,0.000218
47,38.269,1.31109,1.17734,1.99726,0.24581,0.55233,0.25,0.225,0.10757,2.81392,3.22024,3.54131,0.49188,0.0001784,0.0001784,0.0001784
48,38.9395,1.2664,1.15563,2.02793,0.18653,0.62856,0.25,0.225,0.099,2.8267,3.18552,3.5646,0.49929,0.0001388,0.0001388,0.0001388
49,39.5818,1.28134,1.0182,2.00961,0.17684,0.62808,0.25,0.21,0.0915,2.82779,3.17737,3.57816,0.50016,9.92e-05,9.92e-05,9.92e-05
50,40.2153,1.28431,1.07991,1.92993,0.20141,0.60859,0.25,0.21,0.09407,2.82973,3.17098,3.57877,0.49962,5.96e-05,5.96e-05,5.96e-05
