epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
25,7.22281,1.8486,4.51997,1.93547,0,0,0,0,4.34436,6.7949,9.7684,0.0015248,0.0015248,0.0015248
26,7.55957,1.6954,3.72625,1.8417,0,0,0,0,3.8831,8.59758,19.6185,0.001505,0.001505,0.001505
27,7.87106,1.83697,3.94249,1.8961,0,0,0,0,3.8831,8.59758,19.6185,0.0014852,0.0014852,0.0014852
28,8.20236,2.03644,4.10858,2.00579,0.00267,0.5,0.002,0.00053,3.44182,61.1742,40.1562,0.0014654,0.0014654,0.0014654
29,8.52308,1.87216,3.86942,1.95549,0.00267,0.5,0.002,0.00053,3.44182,61.1742,40.1562,0.0014456,0.0014456,0.0014456
30,8.85982,1.51195,3.59705,1.66349,0.00167,0.5,0.00173,0.00046,3.41366,214.067,42.6702,0.0014258,0.0014258,0.0014258
31,9.15705,1.71403,4.01642,1.75033,0.00167,0.5,0.00173,0.00046,3.41366,214.067,42.6702,0.001406,0.001406,0.001406
32,9.45588,1.76753,3.54519,1.79446,0,0,0,0,5.01167,5.84296,30.2147,0.0013862,0.0013862,0.0013862
33,9.75265,1.65996,4.06847,1.78416,0,0,0,0,5.01167,5.84296,30.2147,0.0013664,0.0013664,0.0013664
34,10.0521,2.57768,6.32207,2.39554,0.04762,0.5,0.07071,0.02121,3.91955,196.016,21.4339,0.0013466,0.0013466,0.0013466
35,10.3599,1.39772,3.35284,1.54019,0.04762,0.5,0.07071,0.02121,3.91955,196.016,21.4339,0.0013268,0.0013268,0.0013268
36,10.677,1.50932,3.42272,1.57548,0.02439,0.5,0.0225,0.00336,3.861,203.322,14.4828,0.001307,0.001307,0.001307
37,10.9759,1.7136,3.22326,1.66572,0.02439,0.5,0.0225,0.00336,3.861,203.322,14.4828,0.0012872,0.0012872,0.0012872
38,11.2814,1.35068,2.96004,1.5264,0,0,0,0,3.35771,23.2365,4.64133,0.0012674,0.0012674,0.0012674
39,11.5777,1.55321,3.72721,1.7206,0,0,0,0,3.35771,23.2365,4.64133,0.0012476,0.0012476,0.0012476
40,11.886,1.28854,2.70551,1.42714,0,0,0,0,2.92962,15.779,3.798,0.0012278,0.0012278,0.0012278
41,12.1807,1.37827,3.54767,1.69486,0,0,0,0,2.92962,15.779,3.798,0.001208,0.001208,0.001208
42,12.4838,1.40384,2.82813,1.58287,0.00167,0.5,0.00085,9e-05,2.93058,15.0258,3.45039,0.0011882,0.0011882,0.0011882
43,12.7823,1.54365,3.45481,1.62231,0.00167,0.5,0.00085,9e-05,2.93058,15.0258,3.45039,0.0011684,0.0011684,0.0011684
44,13.1538,1.49104,3.05955,1.7285,0,0,0,0,3.36,8.75581,3.17066,0.0011486,0.0011486,0.0011486
45,13.4451,1.10615,3.72459,1.51004,0,0,0,0,3.36,8.75581,3.17066,0.0011288,0.0011288,0.0011288
46,13.7472,1.32092,2.97726,1.47817,0,0,0,0,2.92695,7.88867,2.67357,0.001109,0.001109,0.001109
47,14.0402,1.23582,3.01528,1.5019,0,0,0,0,2.92695,7.88867,2.67357,0.0010892,0.0010892,0.0010892
48,14.3424,1.06065,2.80272,1.41805,0,0,0,0,2.59071,15.3398,2.40991,0.0010694,0.0010694,0.0010694
49,14.6449,1.38257,2.813,1.48757,0,0,0,0,2.59071,15.3398,2.40991,0.0010496,0.0010496,0.0010496
50,14.9446,1.60006,3.10497,1.48945,0,0,0,0,3.09016,5.45271,2.73749,0.0010298,0.0010298,0.0010298
51,15.2416,1.43969,2.46032,1.65062,0,0,0,0,3.09016,5.45271,2.73749,0.00101,0.00101,0.00101
52,15.5529,1.24424,2.93432,1.39473,0.00167,0.5,0.02357,0.0072,3.11526,4.33313,3.01476,0.0009902,0.0009902,0.0009902
53,15.8447,1.32198,2.51751,1.50508,0.00167,0.5,0.02357,0.0072,3.11526,4.33313,3.01476,0.0009704,0.0009704,0.0009704
54,16.1457,1.3204,2.80145,1.69553,0.44229,0.44229,0.2475,0.0745,2.93979,3.85613,3.33559,0.0009506,0.0009506,0.0009506
55,16.455,1.31133,2.65739,1.47491,0.44229,0.44229,0.2475,0.0745,2.93979,3.85613,3.33559,0.0009308,0.0009308,0.0009308
56,16.7685,1.3079,2.29037,1.3861,0.00429,0.5,0.07071,0.02168,2.77833,4.25745,3.22123,0.000911,0.000911,0.000911
57,17.0637,1.39319,2.7379,1.53912,0.00429,0.5,0.07071,0.02168,2.77833,4.25745,3.22123,0.0008912,0.0008912,0.0008912
58,17.3683,0.90198,7.64198,0.94585,0.00167,0.5,0.02912,0.01198,2.75628,4.88622,3.22664,0.0008714,0.0008714,0.0008714
59,17.6602,1.04255,2.22911,1.44482,0.00167,0.5,0.02912,0.01198,2.75628,4.88622,3.22664,0.0008516,0.0008516,0.0008516
60,17.9535,1.29949,2.38456,1.60981,0.00167,0.5,0.00272,0.00109,2.79618,4.77422,3.17299,0.0008318,0.0008318,0.0008318
61,18.2411,1.23922,2.2769,1.33585,0.00167,0.5,0.00272,0.00109,2.79618,4.77422,3.17299,0.000812,0.000812,0.000812
62,18.5412,1.26229,2.44336,1.43491,0.00167,0.5,0.07071,0.02829,2.80779,4.25404,3.23835,0.0007922,0.0007922,0.0007922
63,18.8935,1.10866,2.26355,1.34435,0.00167,0.5,0.07071,0.02829,2.80779,4.25404,3.23835,0.0007724,0.0007724,0.0007724
64,19.1873,1.44647,2.85709,1.5439,0.05963,0.5,0.06187,0.01856,2.51931,4.45259,3.17167,0.0007526,0.0007526,0.0007526
65,19.4782,0.98165,2.37485,1.2548,0.05963,0.5,0.06187,0.01856,2.51931,4.45259,3.17167,0.0007328,0.0007328,0.0007328
66,19.7739,1.01543,2.00555,1.16107,0.01729,0.5,0.033,0.0099,2.21241,5.21593,3.09387,0.000713,0.000713,0.000713
67,20.0648,1.06055,2.70839,1.487,0.01729,0.5,0.033,0.0099,2.21241,5.21593,3.09387,0.0006932,0.0006932,0.0006932
68,20.3574,1.38738,2.38669,1.50895,0.00352,0.5,0.01904,0.0044,2.24831,6.43506,2.931,0.0006734,0.0006734,0.0006734
69,20.6471,1.03847,1.80716,1.28777,0.00352,0.5,0.01904,0.0044,2.24831,6.43506,2.931,0.0006536,0.0006536,0.0006536
70,20.9416,1.37271,2.66032,1.43082,0.08948,0.5,0.06187,0.00724,2.36365,6.36101,3.32178,0.0006338,0.0006338,0.0006338
71,21.231,1.20058,2.31282,1.42741,0.08948,0.5,0.06187,0.00724,2.36365,6.36101,3.32178,0.000614,0.000614,0.000614
72,21.5237,1.14934,2.28404,1.35558,0.31104,0.5,0.165,0.01895,2.53471,5.29013,3.701,0.0005942,0.0005942,0.0005942
73,21.8116,1.16035,2.27435,1.49148,0.31104,0.5,0.165,0.01895,2.53471,5.29013,3.701,0.0005744,0.0005744,0.0005744
74,22.1093,0.98218,2.04339,1.34593,0.30593,0.5,0.165,0.01925,2.36537,4.54112,3.3235,0.0005546,0.0005546,0.0005546
