epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.61644,2.57482,4.76207,2.50353,0.00167,0.5,0.00121,0.00012,2.97479,5.23421,3.03793,0.000333333,0.000333333,0.000333333
2,0.856906,2.3728,4.44423,2.44479,0.00167,0.5,0.00114,0.00011,2.9148,5.19271,3.09543,0.0009901,0.0009901,0.0009901
3,1.06867,2.31991,4.54473,2.37532,0.00167,0.5,0.00114,0.00011,2.9148,5.19271,3.09543,0.00163367,0.00163367,0.00163367
4,1.27951,2.6475,4.62661,2.63281,0.00167,0.5,0.00114,0.00011,2.75169,5.46271,3.03057,0.0019406,0.0019406,0.0019406
5,1.51775,2.29833,4.61471,2.27093,0.00167,0.5,0.00114,0.00011,2.75169,5.46271,3.03057,0.0019208,0.0019208,0.0019208
6,1.73769,2.36815,4.5523,2.21341,0.00167,0.5,0.001,0.0001,2.7171,5.36928,3.00033,0.001901,0.001901,0.001901
7,1.93891,2.65834,4.69461,2.65117,0.00167,0.5,0.001,0.0001,2.7171,5.36928,3.00033,0.0018812,0.0018812,0.0018812
8,2.14712,2.7911,10.014,2.57612,0.00167,0.5,0.00099,0.0001,2.58474,5.50609,2.9314,0.0018614,0.0018614,0.0018614
9,2.35635,2.63103,5.08013,2.93065,0.00167,0.5,0.00099,0.0001,2.58474,5.50609,2.9314,0.0018416,0.0018416,0.0018416
10,2.56401,2.34612,4.39465,2.45381,0.00167,0.5,0.00099,0.0001,2.57572,5.15027,2.94652,0.0018218,0.0018218,0.0018218
11,2.76771,2.33325,4.65372,2.51587,0.00167,0.5,0.00099,0.0001,2.57572,5.15027,2.94652,0.001802,0.001802,0.001802
12,3.01395,2.36089,5.02438,2.36596,0.00333,1,0.0044,0.00059,2.20232,5.58495,2.66312,0.0017822,0.0017822,0.0017822
13,3.34396,2.39549,4.20709,2.21843,0.00333,1,0.0044,0.00059,2.20232,5.58495,2.66312,0.0017624,0.0017624,0.0017624
14,3.67319,2.56039,4.5765,2.43841,0,0,0,0,3.01504,5.38949,5.54185,0.0017426,0.0017426,0.0017426
15,3.98338,2.26963,4.27488,2.31071,0,0,0,0,3.01504,5.38949,5.54185,0.0017228,0.0017228,0.0017228
16,4.29199,2.09162,4.51406,2.15,0.00167,0.5,0.00105,0.00031,3.509,4.74973,4.91761,0.001703,0.001703,0.001703
17,4.60951,1.84993,3.99344,1.82302,0.00167,0.5,0.00105,0.00031,3.509,4.74973,4.91761,0.0016832,0.0016832,0.0016832
18,4.91266,2.03848,4.93325,2.29471,0.00167,0.5,0.00161,0.00078,2.66052,4.90281,3.2704,0.0016634,0.0016634,0.0016634
19,5.23527,2.15437,5.05224,1.99123,0.00167,0.5,0.00161,0.00078,2.66052,4.90281,3.2704,0.0016436,0.0016436,0.0016436
20,5.58377,2.36012,4.68841,2.27948,0,0,0,0,2.48661,5.86698,2.44319,0.0016238,0.0016238,0.0016238
21,5.89631,2.64455,4.01789,2.17353,0,0,0,0,2.48661,5.86698,2.44319,0.001604,0.001604,0.001604
22,6.20185,2.19121,4.15444,2.16199,0,0,0,0,3.45227,5.63933,3.52783,0.0015842,0.0015842,0.0015842
23,6.51655,1.95622,4.2639,1.88939,0,0,0,0,3.45227,5.63933,3.52783,0.0015644,0.0015644,0.0015644
24,6.91851,1.66897,4.85255,1.66541,0,0,0,0,4.34436,6.7949,9.7684,0.0015446,0.0015446,0.0015446
