epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
38,12.9528,1.3361,1.91348,2.51321,0.0775,0.04762,0.5,0.033,0.0066,2.79738,3.92267,3.49916,0.36944,0.0005348,0.0005348,0.0005348
39,13.3128,1.51476,3.00114,2.01832,0.12259,0.04762,0.5,0.033,0.0066,2.79738,3.92267,3.49916,0.36944,0.0004952,0.0004952,0.0004952
40,13.6608,1.34564,1.83919,2.53723,0.07676,0.06667,0.5,0.07071,0.01414,2.83045,3.83907,3.42687,0.37626,0.0004556,0.0004556,0.0004556
41,16.6328,1.15319,1.98724,2.08955,0.04979,0.06667,0.5,0.07071,0.01414,2.83045,3.83907,3.42687,0.37626,0.000416,0.000416,0.000416
42,17.0198,1.3899,2.06855,2.75547,0.05668,0.07692,0.5,0.099,0.0198,2.82294,3.74004,3.32932,0.39575,0.0003764,0.0003764,0.0003764
43,17.3608,1.28547,1.81025,2.89356,0.07581,0.07692,0.5,0.099,0.0198,2.82294,3.74004,3.32932,0.39575,0.0003368,0.0003368,0.0003368
44,17.7238,1.32195,2.01341,2.22275,0.14373,0.32109,0.48164,0.165,0.033,2.82304,3.53237,3.33718,0.45385,0.0002972,0.0002972,0.0002972
45,18.0738,1.47383,1.74271,2.61236,0.05907,0.32109,0.48164,0.165,0.033,2.82304,3.53237,3.33718,0.45385,0.0002576,0.0002576,0.0002576
46,18.4208,1.2095,1.79298,2.11555,0.0378,0.30029,0.5,0.165,0.0495,2.75371,3.32539,3.30984,0.51143,0.000218,0.000218,0.000218
47,18.7688,1.64708,1.73718,2.63143,0.04678,0.30029,0.5,0.165,0.0495,2.75371,3.32539,3.30984,0.51143,0.0001784,0.0001784,0.0001784
48,19.1948,1.28828,1.90942,2.43604,0.05721,0.29237,0.5,0.165,0.0495,2.69559,3.13882,3.28012,0.56457,0.0001388,0.0001388,0.0001388
49,19.5458,1.55984,1.91356,2.73241,0.04011,0.29237,0.5,0.165,0.0495,2.69559,3.13882,3.28012,0.56457,9.92e-05,9.92e-05,9.92e-05
50,19.8978,1.30479,2.06785,2.6142,0.0301,0.29639,0.5,0.165,0.0495,2.66708,3.04977,3.26995,0.58367,5.96e-05,5.96e-05,5.96e-05
